Date,Open,High,Low,Close,Adj Close,Volume,Percentage Change
2023-04-17,128.300003,128.720001,126.800003,127.820000,123.267914,3662700,-0.37
2023-04-18,128.139999,128.679993,127.349998,127.779999,123.229340,3193800,-0.28
2023-04-19,126.500000,126.980003,125.300003,126.320000,121.821335,7014400,-0.14
2023-04-20,130.149994,130.979996,125.839996,126.360001,121.859917,9749600,-2.91
2023-04-21,126.000000,126.699997,125.269997,125.730003,121.252350,6725400,-0.21
2023-04-24,125.550003,126.050003,124.559998,125.400002,120.934105,4043900,-0.12
2023-04-25,124.900002,126.190002,124.760002,125.889999,121.406647,4275400,0.79
2023-04-26,125.809998,126.550003,125.120003,125.849998,121.368080,4070200,0.03
2023-04-27,126.370003,127.019997,125.459999,126.970001,122.448189,3204900,0.47
2023-04-28,126.580002,127.250000,125.639999,126.410004,121.908134,5060500,-0.13
2023-05-01,126.349998,126.750000,126.059998,126.089996,121.599525,2725000,-0.21
2023-05-02,126.300003,126.449997,123.269997,125.160004,120.702652,4445300,-0.90
2023-05-03,125.459999,125.570000,123.260002,123.449997,119.053543,4554200,-1.60
2023-05-04,123.029999,123.519997,121.760002,122.570000,118.204887,4468200,-0.37
2023-05-05,123.110001,124.099998,122.809998,123.650002,119.246429,4970800,0.44
2023-05-08,123.760002,123.919998,122.550003,123.400002,119.005333,3663800,-0.29
2023-05-09,121.900002,121.970001,120.660004,121.169998,118.448128,4540000,-0.60
2023-05-10,121.989998,122.489998,121.099998,122.019997,119.279030,4189200,0.02
2023-05-11,122.019997,122.239998,120.550003,120.900002,118.184196,3446500,-0.92
2023-05-12,121.410004,122.860001,121.110001,122.839996,120.080612,4560500,1.18
2023-05-15,123.000000,123.690002,122.339996,123.360001,120.588936,2915700,0.29
2023-05-16,123.349998,123.860001,122.449997,123.459999,120.686691,2748400,0.09
2023-05-17,123.940002,125.849998,123.470001,125.709999,122.886147,4515100,1.43
2023-05-18,125.300003,126.510002,125.190002,126.150002,123.316269,3797900,0.68
2023-05-19,126.790001,128.289993,126.550003,127.260002,124.401329,4305800,0.37
2023-05-22,127.500000,128.190002,127.150002,127.500000,124.635941,2806800,0.00
2023-05-23,127.239998,129.089996,127.129997,128.179993,125.300659,4592300,0.74
2023-05-24,127.820000,127.900002,125.470001,125.680000,122.856827,3915500,-1.67
2023-05-25,125.610001,127.230003,125.010002,126.760002,123.912560,4102900,0.92
2023-05-26,127.059998,129.660004,126.809998,128.889999,125.994713,5612600,1.44
2023-05-30,129.559998,130.070007,128.259995,129.479996,126.571465,3741100,-0.06
2023-05-31,128.509995,129.440002,127.459999,128.589996,125.701447,11590200,0.06
2023-06-01,128.440002,130.149994,127.779999,129.820007,126.903831,4136100,1.07
2023-06-02,130.380005,133.119995,130.149994,132.419998,129.445404,5373900,1.56
2023-06-05,133.119995,133.580002,132.270004,132.639999,129.660461,3993500,-0.36
2023-06-06,132.429993,132.940002,131.880005,132.690002,129.709351,3298000,0.20
2023-06-07,132.500000,134.440002,132.190002,134.380005,131.361389,5772000,1.42
2023-06-08,134.690002,135.979996,134.009995,134.410004,131.390717,4128500,-0.21
2023-06-09,134.360001,136.100006,134.169998,135.300003,132.260727,3981500,0.70
2023-06-12,136.000000,136.619995,135.820007,136.419998,133.355560,4494500,0.31
